title,adult,genres,original_language,popularity,runtime,vote_average,vote_count,actors,director,keywords,release_year,runtime_for_plot,rounded_averages
Shrek Forever After,False,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",en,81.556,93,6.4,6932,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Antonio Banderas']",Unknown,"['sequel', 'ogre']",2010,93,6.4
One Piece Film Red,False,"['Animation', 'Adventure', 'Action', 'Fantasy']",ja,81.352,115,7.3,823,"['Kaori Nazuka', 'Shuichi Ikeda', 'Mayumi Tanaka', 'Kazuya Nakai']",Unknown,"['pirate', 'fighting', 'super power', 'aftercreditsstinger', 'anime']",2022,115,7.3
The Suicide Squad,False,"['Action', 'Comedy', 'Adventure']",en,81.327,132,7.542,7982,"['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman']",Unknown,"['monster', 'secret mission', 'superhero', 'anti hero', 'giant monster', 'gore', 'based on comic', 'alien', 'betrayal', 'alien invasion', 'convict', 'parasite', 'super villain', 'world domination', 'aftercreditsstinger', 'dc extended universe (dceu)', 'muscular men', 'character deaths']",2021,132,7.5
Penguins of Madagascar,False,"['Family', 'Animation', 'Adventure', 'Comedy']",en,81.233,92,6.524,3924,"['Tom McGrath', 'Chris Miller', 'Christopher Knights', 'Conrad Vernon']",Unknown,"['rescue', 'wolf', 'spy', 'zoo', 'penguin', 'cartoon', 'madagascar', 'anthropomorphism', 'revenge', 'spin off', 'animal', 'talking animal']",2014,92,6.5
Terminator Genisys,False,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",en,81.219,126,5.933,8029,"['Arnold Schwarzenegger', 'Emilia Clarke', 'Jason Clarke', 'Jai Courtney']",Unknown,"['future', 'artificial intelligence (a.i.)', 'saving the world', 'cyborg', 'killer robot', 'dystopia', 'time travel', 'sequel', 'robot', 'duringcreditsstinger', 'terminator']",2015,126,5.9
Fall,False,['Thriller'],en,81.168,107,7.221,3456,"['Grace Caroline Currey', 'Virginia Gardner', 'Jeffrey Dean Morgan', 'Mason Gooding']",Unknown,['sport climbing'],2022,107,7.2
The Last Voyage of the Demeter,False,"['Thriller', 'Horror']",en,81.037,119,7.045,1126,"['Corey Hawkins', 'Aisling Franciosi', 'David Dastmalchian', 'Javier Botet']",Unknown,"['ship', 'based on novel or book', 'vampire', 'gothic horror', 'dracula', '1890s']",2023,119,7.0
The Amazing Spider-Man,False,"['Action', 'Adventure', 'Science Fiction']",en,80.989,136,6.697,16645,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Martin Sheen']",Unknown,"['experiment', 'loss of loved one', 'superhero', 'based on comic', 'vigilante', 'teenage girl', 'violent death', 'teenage boy', 'super power', 'spider bite', 'masked vigilante', 'reboot', 'genetic engineering', 'social outcast', 'death of husband', 'duringcreditsstinger', 'teenage hero', 'virus', 'teenage angst', 'vigilante justice']",2012,136,6.7
Insidious: The Red Door,False,"['Horror', 'Mystery', 'Thriller']",en,80.888,107,6.7,1445,"['Ty Simpkins', 'Patrick Wilson', 'Rose Byrne', 'Lin Shaye']",Unknown,"['sequel', 'demon', 'franchise', 'insidious', 'supernatural horror', 'evil spirits', 'fifth part']",2023,107,6.7
Pirates of the Caribbean: Dead Men Tell No Tales,False,"['Adventure', 'Action', 'Fantasy']",en,80.844,128,6.647,11400,"['Johnny Depp', 'Javier Bardem', 'Geoffrey Rush', 'Brenton Thwaites']",Unknown,"['sea', 'ship', 'treasure map', 'sequel', 'artifact', 'pirate', 'period drama', 'monkey', 'swashbuckler', 'ghost', 'caribbean sea', 'trident']",2017,128,6.6
The Pope's Exorcist,False,"['Horror', 'Thriller']",en,80.841,103,7.058,2336,"['Russell Crowe', 'Daniel Zovatto', 'Alex Essoe', 'Franco Nero']",Unknown,"['spain', 'rome, italy', 'pig', 'vatican', 'pope', 'possession', 'conspiracy', 'devil', 'exorcist', 'skepticism', 'catholic priest', '1980s', 'supernatural horror']",2023,103,7.1
The Conjuring: The Devil Made Me Do It,False,"['Horror', 'Mystery', 'Thriller']",en,80.785,111,7.463,5576,"['Patrick Wilson', 'Vera Farmiga', ""Ruairí O'Connor"", 'Sarah Catherine Hook']",Unknown,"['supernatural', 'exorcism', 'connecticut', 'sequel', 'paranormal investigation', '1980s', 'religious horror', 'the conjuring universe']",2021,111,7.5
Ostap Bender. The Empire's Gold,False,"['Comedy', 'Adventure', 'Action']",ru,80.429,87,6.0,34,"['Sergei Bezrukov', 'Aram Vardevanyan', 'Yuliya Rutberg', 'Olga Sutulova']",Unknown,['based on novel or book'],2021,87,6.0
Boudica,False,"['Action', 'War']",en,80.401,101,5.86,107,"['Olga Kurylenko', 'Peter Franzén', 'Clive Standen', 'Lucy Martin']",Unknown,['female protagonist'],2023,101,5.9
